Year,Player(s),Number of goals
1930,Guillermo Stábile,8
1934,Oldřich Nejedlý,5
1938,Leônidas,7
1950,Ademir,8
1954,Sándor Kocsis,11
1958,Just Fontaine,13
1962,"Garrincha, Vavá, Leonel Sánchez, Flórián Albert, Valentin Ivanov, Dražan Jerković",4
1966,Eusébio,9
1970,Gerd Müller,10
1974,Grzegorz Lato,7
1978,Mario Kempes,6
1982,Paolo Rossi,6
1986,Gary Lineker,6
1990,Salvatore Schillaci,6
1994,"Hristo Stoichkov, Oleg Salenko",6
1998,Davor Šuker,6
2002,Ronaldo,8
2006,Miroslav Klose,5
2010,"Thomas Müller, David Villa, Wesley Sneijder, Diego Forlán",5
2014,James Rodríguez,6
2018,Harry Kane,6